PT08.S3(NOx);PT08.S1(CO);PT08.S5(O3);CO(GT);NOx(GT);NO2(GT);NMHC(GT);PT08.S2(NMHC);PT08.S4(NO2);RH;C6H6(GT);T;AH
897.0;1112.0;931.0;1.9;124.0;90.0;172.0;?;?;44.4;8.4;16.6;0.8313
971.0;1063.0;811.0;?;115.0;89.0;114.0;877.0;?;38.4;7.5;18.0;0.7862
973.0;1032.0;756.0;1.8;101.0;87.0;166.0;?;1457.0;30.0;7.8;20.6;0.7213
?;936.0;607.0;1.5;?;88.0;94.0;829.0;1336.0;26.7;6.4;19.9;0.6137
1152.0;883.0;498.0;1.3;?;81.0;108.0;?;?;23.1;5.1;?;?
1055.0;942.0;540.0;1.4;89.0;?;98.0;852.0;1318.0;22.7;6.9;21.4;0.5722
1084.0;943.0;544.0;1.5;92.0;91.0;132.0;850.0;1296.0;21.3;6.8;22.1;0.5605
1027.0;?;620.0;1.7;103.0;?;144.0;875.0;1357.0;24.5;7.4;21.1;0.604
949.0;1037.0;740.0;2.0;122.0;111.0;165.0;927.0;1426.0;31.6;8.7;18.3;0.6562
?;1127.0;921.0;?;159.0;129.0;?;1022.0;1534.0;35.0;?;?;0.6372
861.0;1123.0;?;2.4;172.0;133.0;277.0;996.0;1551.0;41.5;10.5;?;?
916.0;1110.0;984.0;2.0;125.0;?;168.0;909.0;1487.0;?;8.2;?;0.7577
?;1247.0;1193.0;2.9;187.0;125.0;?;1037.0;1618.0;55.5;11.6;12.3;0.7916
844.0;1220.0;1219.0;2.5;174.0;?;235.0;967.0;1545.0;56.6;9.7;11.8;?
1047.0;1028.0;913.0;1.4;75.0;84.0;84.0;770.0;1326.0;?;5.1;11.2;0.7469
?;978.0;?;?;48.0;?;75.0;711.0;1304.0;56.6;4.0;?;?
?;949.0;772.0;1.0;61.0;68.0;62.0;?;?;64.3;3.7;9.3;0.7531
1162.0;910.0;712.0;1.0;-200.0;-200.0;66.0;709.0;1329.0;?;4.0;8.8;0.7501
1224.0;863.0;712.0;-200.0;38.0;52.0;49.0;651.0;1286.0;70.4;3.0;7.8;?
?;836.0;727.0;?;38.0;49.0;38.0;?;1306.0;70.7;2.9;7.7;?
1259.0;856.0;?;?;41.0;?;44.0;644.0;1301.0;?;2.9;7.4;0.7346
?;888.0;733.0;0.9;51.0;52.0;60.0;651.0;?;66.6;3.0;?;0.7283
1196.0;912.0;727.0;?;61.0;58.0;88.0;694.0;?;64.3;?;?;?
1177.0;938.0;642.0;1.0;?;51.0;?;706.0;1320.0;?;?;13.0;0.7116
?;1053.0;810.0;1.6;87.0;77.0;94.0;823.0;1386.0;35.4;?;17.4;0.699
1014.0;1087.0;851.0;1.8;?;90.0;?;?;1412.0;29.2;7.3;?;?
?;?;911.0;2.6;161.0;118.0;181.0;945.0;1425.0;22.9;9.2;22.7;0.6224
?;894.0;611.0;1.1;61.0;?;66.0;710.0;1200.0;22.4;4.0;22.3;0.5955
1452.0;797.0;368.0;0.6;26.0;35.0;?;606.0;1076.0;18.9;2.3;22.2;0.4993
1409.0;854.0;?;?;42.0;46.0;48.0;658.0;1108.0;19.0;3.1;22.0;0.4969
1348.0;892.0;394.0;?;55.0;58.0;66.0;665.0;1150.0;23.6;3.2;?;0.5788
?;935.0;415.0;?;65.0;61.0;65.0;672.0;1183.0;27.4;3.3;19.6;0.6162
1225.0;989.0;469.0;1.4;?;80.0;68.0;709.0;?;30.8;4.0;17.9;0.6258
?;?;607.0;2.0;93.0;?;118.0;797.0;1285.0;?;5.7;?;0.6532
1220.0;922.0;498.0;1.1;63.0;78.0;65.0;674.0;?;37.5;3.4;?;0.6575
1223.0;925.0;481.0;?;60.0;76.0;63.0;680.0;1217.0;36.7;3.5;15.5;?
1272.0;924.0;465.0;?;?;74.0;61.0;648.0;?;39.0;2.9;14.5;0.6428
1256.0;914.0;?;1.1;?;81.0;63.0;661.0;?;38.2;?;?;0.6163
?;840.0;366.0;0.7;?;58.0;?;556.0;1094.0;38.3;1.6;13.7;0.5957
?;?;332.0;?;42.0;?;?;514.0;?;34.0;?;14.1;0.5442
1448.0;856.0;346.0;0.7;36.0;54.0;?;581.0;1111.0;?;2.0;14.6;?
1452.0;830.0;350.0;?;-200.0;-200.0;34.0;560.0;1066.0;32.8;1.7;14.4;0.5364
1822.0;753.0;274.0;0.3;16.0;25.0;9.0;462.0;955.0;30.9;?;?;0.4868
1923.0;785.0;263.0;0.3;16.0;26.0;14.0;448.0;1003.0;37.9;0.5;13.5;?
1756.0;835.0;314.0;?;33.0;49.0;23.0;472.0;1117.0;43.6;0.7;13.9;0.6871
1613.0;865.0;?;?;39.0;?;36.0;494.0;1185.0;?;0.9;13.5;0.7706
1453.0;922.0;432.0;0.6;45.0;57.0;39.0;541.0;1246.0;53.6;1.5;13.3;0.8169
?;?;536.0;0.8;63.0;73.0;?;598.0;1293.0;?;2.2;?;0.8576
?;1040.0;?;1.0;71.0;?;55.0;646.0;?;59.6;2.9;13.0;0.886
1105.0;1115.0;677.0;1.3;104.0;93.0;75.0;707.0;1384.0;?;3.9;12.7;0.9173
?;1004.0;557.0;1.1;?;71.0;?;641.0;?;60.5;2.8;12.1;0.8505
1415.0;895.0;421.0;?;?;?;39.0;?;1229.0;64.4;?;11.2;?
1415.0;917.0;423.0;0.7;58.0;60.0;42.0;563.0;?;67.6;?;?;0.8703
?;?;519.0;1.2;89.0;77.0;78.0;689.0;1325.0;61.2;3.6;11.4;0.8236
1222.0;1035.0;?;?;96.0;82.0;69.0;660.0;?;70.5;?;?;0.8581
1197.0;1025.0;537.0;1.2;88.0;77.0;67.0;682.0;1313.0;65.2;3.5;10.3;0.8151
1149.0;1040.0;612.0;1.3;100.0;91.0;83.0;?;1324.0;58.9;3.9;11.0;0.7714
1065.0;1070.0;697.0;1.8;127.0;93.0;79.0;776.0;?;59.5;5.2;10.6;0.7595
1176.0;964.0;573.0;1.2;?;82.0;68.0;?;1292.0;57.7;3.7;10.6;0.7362
1269.0;904.0;489.0;?;66.0;?;56.0;635.0;1233.0;56.1;2.7;10.6;0.7149
?;913.0;474.0;0.8;61.0;68.0;49.0;626.0;1234.0;58.0;2.6;10.3;0.7239
1322.0;914.0;455.0;0.8;?;?;?;?;1230.0;58.4;2.4;10.4;?
1368.0;893.0;433.0;0.7;?;58.0;48.0;587.0;?;58.2;?;?;?
1499.0;844.0;376.0;0.5;?;?;?;532.0;1176.0;?;1.3;10.5;?
1581.0;837.0;360.0;0.3;18.0;?;29.0;518.0;1182.0;60.8;1.2;10.5;?
1482.0;868.0;384.0;0.4;-200.0;-200.0;32.0;?;1215.0;63.1;1.3;10.6;0.8068
1565.0;825.0;363.0;0.3;21.0;28.0;47.0;489.0;1171.0;?;0.9;11.1;0.7925
1251.0;956.0;525.0;0.7;76.0;68.0;?;656.0;1356.0;68.4;3.1;?;0.8443
?;1124.0;873.0;1.6;149.0;99.0;163.0;853.0;1531.0;68.7;6.9;10.0;0.8456
667.0;1496.0;1399.0;3.9;328.0;130.0;524.0;?;?;64.2;19.1;11.0;0.8398
620.0;1452.0;1501.0;4.5;282.0;?;?;1354.0;?;58.1;?;12.0;0.8138
797.0;1172.0;1186.0;2.7;206.0;120.0;?;1042.0;1641.0;?;11.8;12.8;0.7643
956.0;1020.0;911.0;1.6;?;93.0;144.0;?;1426.0;50.8;7.3;12.6;0.7387
934.0;1044.0;?;?;137.0;?;135.0;900.0;1471.0;47.4;8.0;?;0.7435
?;?;791.0;?;116.0;84.0;140.0;866.0;1429.0;42.7;?;15.1;?
?;1009.0;751.0;1.5;112.0;?;141.0;885.0;1439.0;?;7.7;16.3;0.7006
935.0;1073.0;?;?;128.0;?;181.0;966.0;1537.0;36.7;9.7;16.6;?
877.0;1098.0;966.0;?;145.0;103.0;227.0;971.0;1527.0;40.5;9.8;15.8;0.7241
920.0;1061.0;869.0;?;110.0;88.0;149.0;887.0;1462.0;41.8;?;16.3;0.7712
755.0;1289.0;1196.0;3.0;184.0;118.0;425.0;?;1791.0;42.8;15.3;16.1;?
630.0;?;1523.0;4.6;243.0;134.0;?;1337.0;?;46.8;21.5;?;0.8074
631.0;1479.0;?;?;259.0;144.0;680.0;?;1995.0;?;21.7;14.7;0.7815
726.0;1266.0;1370.0;?;205.0;129.0;446.0;1138.0;1747.0;49.6;14.6;14.1;?
845.0;?;1204.0;?;144.0;108.0;205.0;952.0;?;54.1;9.3;13.5;0.8351
843.0;1168.0;1201.0;2.1;?;104.0;194.0;954.0;1586.0;59.2;?;?;0.8461
925.0;1079.0;1122.0;1.5;108.0;90.0;115.0;847.0;1463.0;?;?;11.6;0.851
1032.0;1047.0;?;1.1;64.0;74.0;74.0;760.0;1379.0;61.4;4.9;11.5;0.8303
1086.0;936.0;918.0;0.9;73.0;73.0;?;705.0;1364.0;?;?;10.9;0.8395
1207.0;?;836.0;0.7;47.0;?;66.0;635.0;1307.0;63.2;?;11.1;0.8331
1325.0;?;759.0;0.4;-200.0;-200.0;60.0;576.0;?;64.4;1.9;10.7;0.8284
1349.0;?;755.0;-200.0;?;57.0;40.0;563.0;1275.0;63.8;1.7;10.7;?
1191.0;905.0;820.0;0.9;79.0;62.0;47.0;670.0;1346.0;65.8;3.3;10.2;0.8196
947.0;1079.0;998.0;1.6;113.0;71.0;?;875.0;?;65.6;7.4;10.3;?
669.0;1417.0;1403.0;3.9;263.0;94.0;478.0;1246.0;1921.0;64.0;18.2;10.8;0.8307
569.0;1529.0;?;?;275.0;99.0;836.0;1497.0;?;55.6;27.7;?;0.8453
?;1397.0;1534.0;4.3;263.0;119.0;655.0;1248.0;?;46.8;18.3;15.8;?
780.0;1214.0;1257.0;2.7;?;103.0;?;1061.0;1662.0;34.4;12.3;19.5;?
882.0;1109.0;?;2.1;?;95.0;195.0;935.0;1518.0;?;8.9;21.1;0.745
859.0;1122.0;993.0;2.1;132.0;95.0;238.0;?;1571.0;34.2;10.4;18.4;0.7185
877.0;?;919.0;-200.0;-200.0;-200.0;?;?;1519.0;30.6;9.7;21.0;0.7538
788.0;1164.0;1032.0;-200.0;-200.0;-200.0;?;?;1653.0;28.7;12.8;21.4;0.7231
790.0;1188.0;1077.0;?;-200.0;-200.0;?;1082.0;1653.0;?;12.9;21.3;0.6856
895.0;?;?;?;-200.0;?;-200.0;934.0;?;30.4;8.9;20.4;0.7193
826.0;1180.0;?;-200.0;-200.0;-200.0;-200.0;?;1595.0;34.8;11.0;18.7;0.7436
799.0;1195.0;1144.0;-200.0;-200.0;?;-200.0;1072.0;1609.0;?;12.6;18.6;0.7369
789.0;1234.0;1212.0;-200.0;?;-200.0;-200.0;1095.0;1638.0;?;13.3;17.9;0.7276
675.0;1425.0;?;-200.0;?;-200.0;-200.0;1242.0;1858.0;42.1;?;16.5;0.7856
730.0;1320.0;1440.0;-200.0;-200.0;-200.0;-200.0;?;1689.0;?;13.0;14.8;?
?;1158.0;1242.0;-200.0;-200.0;-200.0;-200.0;892.0;?;54.3;7.8;13.4;0.8291
964.0;1060.0;1089.0;-200.0;-200.0;-200.0;-200.0;805.0;1418.0;54.2;5.8;13.4;0.8319
1034.0;1036.0;993.0;?;-200.0;-200.0;-200.0;746.0;?;?;4.7;12.3;?
1163.0;943.0;862.0;-200.0;-200.0;-200.0;-200.0;660.0;1297.0;58.8;3.1;11.6;0.7996
?;899.0;815.0;-200.0;-200.0;-200.0;-200.0;591.0;1259.0;62.3;2.1;10.7;0.7988
?;?;?;-200.0;-200.0;-200.0;-200.0;?;1241.0;?;?;10.2;0.7865
1416.0;847.0;?;?;?;-200.0;-200.0;527.0;1216.0;?;1.3;10.5;0.7761
?;918.0;744.0;-200.0;-200.0;-200.0;-200.0;625.0;1298.0;65.8;2.6;9.3;?
?;1105.0;1050.0;-200.0;?;-200.0;-200.0;897.0;?;67.4;7.9;?;0.7814
625.0;1491.0;?;-200.0;-200.0;-200.0;-200.0;?;2001.0;62.9;21.4;10.2;0.7831
609.0;1508.0;1623.0;-200.0;?;-200.0;-200.0;1355.0;2034.0;58.7;22.1;11.6;0.7999
?;?;1638.0;3.9;?;114.0;536.0;1270.0;?;53.4;?;13.5;0.8196
661.0;1451.0;1633.0;?;327.0;127.0;?;1219.0;1804.0;49.3;17.3;15.0;?
?;?;?;3.8;?;135.0;460.0;1225.0;1809.0;42.1;17.5;17.1;?
689.0;1392.0;1559.0;?;257.0;?;597.0;1210.0;?;?;17.0;18.4;0.7758
709.0;1351.0;?;?;?;120.0;465.0;1210.0;?;35.4;?;19.3;?
681.0;1418.0;1418.0;4.0;231.0;?;542.0;1282.0;1890.0;35.7;19.5;19.2;0.7826
748.0;?;?;3.0;170.0;114.0;437.0;1143.0;1734.0;30.4;14.8;21.5;0.7677
746.0;1292.0;1293.0;3.1;192.0;?;383.0;?;1676.0;34.6;14.0;19.6;0.7807
594.0;1560.0;1642.0;5.2;251.0;149.0;?;?;?;35.5;24.4;19.6;?
533.0;1765.0;1895.0;5.9;289.0;149.0;926.0;?;2271.0;44.1;?;18.3;0.9183
?;1875.0;2086.0;7.3;351.0;158.0;?;1637.0;2446.0;47.8;33.7;17.4;?
553.0;?;1898.0;?;?;148.0;824.0;1409.0;2119.0;49.8;24.2;?;0.9446
587.0;?;1758.0;4.6;264.0;134.0;660.0;1290.0;1960.0;53.2;19.8;?;0.9723
802.0;1277.0;1284.0;?;?;111.0;203.0;?;1607.0;59.1;?;14.9;0.9928
877.0;1207.0;1075.0;2.2;119.0;?;136.0;?;?;64.0;7.3;13.9;1.013
882.0;1209.0;1084.0;2.0;?;108.0;114.0;863.0;1547.0;66.8;7.1;13.7;1.041
887.0;1189.0;1049.0;1.9;?;?;?;844.0;1566.0;69.6;6.7;13.4;1.0688
899.0;?;1021.0;1.6;77.0;?;127.0;810.0;1532.0;71.9;6.0;12.8;1.0632
1159.0;974.0;778.0;1.0;-200.0;-200.0;?;635.0;?;68.5;2.7;12.9;1.0155
?;1033.0;948.0;?;63.0;69.0;70.0;686.0;1420.0;74.8;?;11.9;1.038
941.0;1075.0;988.0;1.2;?;77.0;?;782.0;1505.0;76.4;5.4;11.6;1.0415
778.0;1242.0;1184.0;2.0;180.0;87.0;179.0;978.0;1686.0;75.3;?;11.7;1.0325
579.0;?;1600.0;4.5;?;109.0;523.0;1384.0;?;71.0;23.2;12.8;1.0428
636.0;1406.0;?;4.1;279.0;116.0;?;1258.0;1890.0;61.1;18.7;13.8;0.9595
827.0;1150.0;?;2.6;186.0;105.0;?;?;1590.0;51.4;9.9;15.3;0.8886
823.0;?;1166.0;2.3;169.0;106.0;222.0;983.0;1604.0;48.7;10.2;16.6;?
781.0;1223.0;1219.0;?;172.0;108.0;?;1014.0;1666.0;46.7;11.0;17.6;0.9324
802.0;1196.0;1128.0;2.4;127.0;?;263.0;997.0;?;42.7;10.5;?;0.9425
653.0;1559.0;1373.0;4.3;230.0;149.0;535.0;?;2047.0;62.5;?;15.7;1.1092
613.0;?;1415.0;4.6;280.0;148.0;609.0;?;2066.0;75.7;18.9;14.5;1.2425
650.0;1485.0;?;4.0;242.0;126.0;449.0;1223.0;1980.0;77.4;17.5;14.4;1.2654
649.0;1498.0;1308.0;4.7;250.0;?;536.0;?;?;?;17.7;?;?
582.0;1593.0;1449.0;5.7;309.0;142.0;?;1378.0;?;76.0;?;14.6;1.2573
?;1529.0;1385.0;5.2;270.0;141.0;575.0;1309.0;2083.0;?;20.4;14.0;1.2166
560.0;1689.0;1492.0;6.4;323.0;149.0;783.0;1474.0;2298.0;78.0;26.8;13.9;1.2303
?;1535.0;1380.0;6.0;307.0;140.0;706.0;1295.0;2039.0;78.0;19.9;13.8;1.2229
?;1304.0;?;3.4;224.0;117.0;299.0;1067.0;1811.0;79.4;12.5;?;1.2224
803.0;1235.0;1095.0;2.7;166.0;103.0;159.0;963.0;1680.0;80.1;9.6;13.1;1.2016
?;1281.0;1105.0;3.1;171.0;99.0;171.0;977.0;?;81.0;?;12.8;1.1915
846.0;1167.0;1051.0;2.6;169.0;100.0;162.0;904.0;?;?;?;?;1.1819
?;?;1009.0;2.2;120.0;?;111.0;863.0;?;81.8;7.1;12.5;?
887.0;1100.0;972.0;1.9;103.0;83.0;?;?;1565.0;81.2;6.4;12.7;1.1849
958.0;1057.0;884.0;?;-200.0;?;-200.0;768.0;?;82.4;?;12.4;?
?;902.0;661.0;-200.0;-200.0;-200.0;?;652.0;1437.0;79.9;3.0;12.6;1.1619
1055.0;982.0;774.0;-200.0;-200.0;-200.0;?;724.0;1508.0;80.0;4.2;12.8;1.1761
1002.0;997.0;868.0;-200.0;-200.0;-200.0;-200.0;769.0;1524.0;79.9;5.1;?;1.1596
?;1141.0;965.0;-200.0;-200.0;-200.0;-200.0;?;1672.0;79.6;8.1;12.5;1.1538
849.0;1163.0;985.0;-200.0;-200.0;-200.0;?;930.0;1691.0;?;8.8;12.8;1.1863
911.0;1107.0;963.0;?;-200.0;-200.0;-200.0;864.0;1604.0;78.1;7.2;13.5;1.1997
838.0;1228.0;1069.0;-200.0;?;-200.0;-200.0;949.0;?;74.9;?;14.6;1.2348
969.0;1033.0;864.0;-200.0;-200.0;-200.0;-200.0;810.0;1526.0;?;6.0;16.8;1.1599
1054.0;984.0;?;?;-200.0;?;-200.0;?;1472.0;?;5.0;18.8;1.0769
939.0;1066.0;740.0;-200.0;-200.0;?;-200.0;879.0;1536.0;47.1;7.5;19.3;1.0445
1130.0;926.0;532.0;-200.0;-200.0;-200.0;?;?;1429.0;46.6;3.9;19.3;1.0298
1054.0;979.0;572.0;-200.0;-200.0;?;-200.0;764.0;1462.0;44.4;5.0;19.7;1.0081
1033.0;993.0;630.0;-200.0;-200.0;-200.0;-200.0;783.0;1482.0;45.7;5.4;?;1.0161
1043.0;970.0;608.0;-200.0;-200.0;-200.0;-200.0;?;1462.0;?;5.0;17.9;1.0135
1014.0;997.0;644.0;?;-200.0;-200.0;-200.0;788.0;1482.0;53.2;5.5;16.9;1.0179
?;1097.0;?;-200.0;-200.0;?;?;892.0;1594.0;56.0;7.8;16.1;1.0151
900.0;1105.0;923.0;-200.0;-200.0;-200.0;-200.0;908.0;1566.0;52.8;?;?;0.986
1022.0;993.0;790.0;-200.0;-200.0;-200.0;?;777.0;1482.0;51.1;?;?;0.9743
919.0;?;961.0;-200.0;-200.0;-200.0;-200.0;?;1623.0;?;7.9;17.0;?
798.0;1297.0;1177.0;-200.0;-200.0;-200.0;-200.0;1003.0;1700.0;?;10.7;16.9;?
897.0;1110.0;943.0;?;?;-200.0;-200.0;855.0;1568.0;57.2;6.9;16.3;1.0492
?;1027.0;742.0;-200.0;-200.0;-200.0;-200.0;827.0;?;?;?;16.0;1.0164
982.0;?;705.0;?;-200.0;-200.0;-200.0;795.0;1501.0;60.2;5.6;15.6;1.0617
988.0;992.0;663.0;-200.0;-200.0;-200.0;-200.0;783.0;1527.0;68.2;5.4;?;?
1144.0;929.0;536.0;?;-200.0;-200.0;-200.0;664.0;?;69.6;3.2;14.3;1.1257
1309.0;892.0;441.0;-200.0;-200.0;-200.0;-200.0;579.0;1396.0;71.9;?;13.8;?
?;895.0;477.0;-200.0;-200.0;-200.0;-200.0;?;1410.0;72.7;2.3;?;1.1402
?;915.0;506.0;-200.0;-200.0;-200.0;-200.0;612.0;?;72.3;?;14.2;1.1632
1154.0;?;608.0;?;-200.0;-200.0;-200.0;649.0;1459.0;72.9;2.9;14.5;?
1052.0;1032.0;663.0;-200.0;-200.0;-200.0;-200.0;721.0;1546.0;75.6;4.2;14.2;?
901.0;1219.0;912.0;-200.0;-200.0;-200.0;?;?;1664.0;77.2;?;?;1.2695
873.0;1217.0;?;-200.0;-200.0;?;-200.0;869.0;1660.0;74.5;7.3;?;1.253
980.0;1097.0;803.0;?;-200.0;?;-200.0;779.0;1565.0;67.4;?;15.5;1.178
1136.0;938.0;564.0;-200.0;-200.0;-200.0;-200.0;674.0;1433.0;56.0;3.4;16.7;1.0544
1140.0;?;501.0;-200.0;-200.0;-200.0;-200.0;677.0;1436.0;?;3.4;17.1;?
929.0;?;?;-200.0;-200.0;-200.0;-200.0;?;1604.0;62.4;6.8;16.2;1.1423
921.0;1163.0;783.0;-200.0;-200.0;?;-200.0;859.0;1603.0;58.9;7.0;17.4;1.1567
916.0;1157.0;784.0;-200.0;-200.0;?;-200.0;885.0;1590.0;54.6;7.7;?;1.08
876.0;?;861.0;-200.0;-200.0;?;-200.0;919.0;1623.0;54.2;8.5;?;?
744.0;1342.0;1156.0;-200.0;-200.0;?;?;1102.0;?;?;13.5;17.0;1.0621
847.0;?;1047.0;?;-200.0;-200.0;-200.0;949.0;?;57.8;9.2;16.4;1.0669
?;1152.0;1034.0;-200.0;?;-200.0;-200.0;?;1669.0;60.4;8.7;15.8;1.0744
920.0;?;962.0;-200.0;-200.0;-200.0;-200.0;?;1595.0;63.3;6.6;?;1.1071
826.0;1167.0;1100.0;-200.0;-200.0;-200.0;?;945.0;?;65.2;9.1;15.0;1.1045
?;1111.0;1047.0;-200.0;?;-200.0;-200.0;890.0;1658.0;67.3;?;14.5;1.1054
?;988.0;874.0;-200.0;-200.0;-200.0;-200.0;722.0;?;70.1;?;14.1;1.1224
?;?;747.0;-200.0;-200.0;-200.0;-200.0;677.0;1494.0;73.3;3.4;13.8;1.1518
1275.0;?;589.0;-200.0;?;?;?;562.0;1407.0;?;1.7;?;?
1238.0;885.0;635.0;-200.0;-200.0;-200.0;-200.0;589.0;1443.0;78.2;2.1;?;1.1664
1242.0;888.0;671.0;-200.0;-200.0;-200.0;?;597.0;?;70.1;2.2;14.3;1.1328
913.0;1101.0;?;-200.0;?;?;?;?;1655.0;70.9;6.9;?;1.1306
680.0;1399.0;1308.0;-200.0;-200.0;?;-200.0;1195.0;1976.0;64.2;?;?;?
652.0;1325.0;?;-200.0;-200.0;-200.0;-200.0;1260.0;?;57.9;18.7;16.5;1.0826
876.0;?;893.0;?;-200.0;-200.0;-200.0;921.0;?;48.0;8.5;?;1.0323
947.0;990.0;?;?;-200.0;-200.0;-200.0;846.0;1503.0;43.3;6.8;19.5;0.9706
950.0;1018.0;685.0;?;-200.0;-200.0;-200.0;879.0;1574.0;45.5;7.5;?;0.9606
811.0;1105.0;947.0;-200.0;-200.0;-200.0;-200.0;1010.0;1709.0;46.7;10.9;18.0;0.9569
743.0;1194.0;?;?;-200.0;?;-200.0;?;?;58.2;13.4;?;1.0813
892.0;1088.0;741.0;-200.0;-200.0;-200.0;-200.0;893.0;1565.0;75.6;7.9;12.1;1.0662
872.0;1084.0;801.0;-200.0;-200.0;?;-200.0;933.0;1602.0;75.6;8.8;11.1;0.9974
797.0;1207.0;969.0;-200.0;-200.0;-200.0;?;1032.0;1701.0;79.0;11.5;10.5;1.0016
?;1186.0;1038.0;-200.0;-200.0;-200.0;-200.0;1042.0;1684.0;80.5;11.8;10.0;0.9853
?;1053.0;889.0;-200.0;-200.0;-200.0;-200.0;911.0;?;70.5;8.3;11.3;0.9389
921.0;1032.0;879.0;?;-200.0;-200.0;-200.0;895.0;1508.0;71.5;7.9;10.7;0.9197
960.0;989.0;846.0;?;-200.0;-200.0;-200.0;846.0;1476.0;74.0;6.7;?;?
1085.0;930.0;712.0;-200.0;-200.0;-200.0;-200.0;?;1391.0;?;4.6;10.8;0.8806
1056.0;951.0;747.0;?;-200.0;-200.0;-200.0;766.0;1431.0;74.0;5.0;10.2;0.9176
?;985.0;791.0;?;-200.0;-200.0;-200.0;780.0;1444.0;77.5;?;?;0.9579
1136.0;937.0;637.0;-200.0;-200.0;?;-200.0;703.0;1377.0;77.7;3.9;9.9;0.9497
1222.0;887.0;553.0;-200.0;-200.0;-200.0;-200.0;648.0;1357.0;80.2;2.9;?;?
1429.0;806.0;449.0;-200.0;-200.0;-200.0;?;544.0;1290.0;79.7;1.5;9.5;0.9489
1587.0;771.0;?;-200.0;?;-200.0;-200.0;483.0;1277.0;78.9;0.8;?;0.9487
?;802.0;540.0;-200.0;-200.0;?;-200.0;519.0;1315.0;80.0;?;9.8;?
1260.0;878.0;685.0;?;-200.0;-200.0;-200.0;644.0;?;79.6;2.9;10.0;0.98
942.0;?;925.0;-200.0;-200.0;-200.0;?;883.0;1625.0;79.4;7.6;10.3;0.9927
638.0;1430.0;1382.0;?;-200.0;?;?;?;2069.0;77.4;?;?;1.0135
540.0;1565.0;1645.0;?;-200.0;-200.0;-200.0;?;2396.0;69.2;29.9;12.3;0.9906
637.0;1365.0;1514.0;-200.0;?;-200.0;-200.0;?;1999.0;60.4;?;14.5;?
678.0;1348.0;1509.0;-200.0;?;-200.0;-200.0;1214.0;1874.0;56.3;17.1;16.0;1.0185
648.0;1311.0;1520.0;?;-200.0;-200.0;-200.0;1279.0;?;51.1;19.4;18.1;?
?;1302.0;1471.0;-200.0;-200.0;-200.0;-200.0;?;1970.0;37.5;18.7;23.0;1.0389
?;?;?;-200.0;?;-200.0;-200.0;1173.0;1870.0;39.6;?;21.8;?
859.0;1083.0;1004.0;-200.0;-200.0;-200.0;?;988.0;1643.0;?;10.3;21.9;0.9683
?;1005.0;714.0;-200.0;?;-200.0;-200.0;894.0;1530.0;?;?;23.8;?
844.0;?;?;-200.0;-200.0;-200.0;-200.0;1107.0;1742.0;?;?;25.9;0.8845
712.0;1327.0;1272.0;-200.0;?;?;-200.0;1289.0;?;29.9;?;25.8;0.9808
599.0;1428.0;1526.0;-200.0;-200.0;-200.0;-200.0;1437.0;2156.0;39.5;25.3;22.6;1.0679
612.0;1426.0;1488.0;-200.0;-200.0;-200.0;?;1400.0;2102.0;45.0;?;19.9;?
663.0;?;1475.0;?;-200.0;?;-200.0;1313.0;1958.0;?;20.6;17.9;0.9657
?;1114.0;1182.0;-200.0;-200.0;-200.0;-200.0;1059.0;1704.0;50.4;12.3;16.8;0.9545
?;991.0;933.0;-200.0;-200.0;-200.0;-200.0;889.0;1550.0;?;7.7;16.0;0.9375
866.0;1089.0;1001.0;-200.0;-200.0;-200.0;-200.0;940.0;?;59.1;?;?;0.952
1071.0;911.0;756.0;-200.0;-200.0;?;-200.0;740.0;1412.0;56.7;4.5;14.2;?
976.0;1005.0;952.0;-200.0;-200.0;-200.0;-200.0;802.0;1474.0;67.7;5.8;12.2;0.9625
1172.0;863.0;808.0;-200.0;-200.0;-200.0;?;?;1381.0;61.7;3.2;13.2;0.9328
1197.0;857.0;779.0;-200.0;?;-200.0;-200.0;653.0;1375.0;71.0;3.0;10.9;0.9249
1301.0;804.0;717.0;?;-200.0;-200.0;?;585.0;?;67.6;?;11.3;0.9038
1160.0;871.0;779.0;-200.0;-200.0;-200.0;?;?;1421.0;71.8;?;?;0.888
887.0;1035.0;1009.0;-200.0;-200.0;-200.0;-200.0;929.0;?;70.9;8.7;10.2;?
572.0;?;1595.0;-200.0;-200.0;-200.0;-200.0;1480.0;2249.0;?;27.0;11.8;0.9085
?;1726.0;1940.0;?;-200.0;-200.0;-200.0;?;2684.0;58.2;40.3;14.0;0.9271
?;1396.0;1628.0;-200.0;-200.0;-200.0;-200.0;1296.0;1991.0;50.2;20.0;17.0;0.9646
668.0;?;1573.0;-200.0;-200.0;-200.0;-200.0;1212.0;1854.0;36.9;17.1;22.3;0.9838
849.0;?;1187.0;-200.0;-200.0;-200.0;-200.0;?;?;30.9;11.0;?;0.934
900.0;1081.0;900.0;?;-200.0;?;-200.0;1000.0;1561.0;?;?;25.9;0.8771
914.0;1075.0;800.0;-200.0;?;-200.0;-200.0;?;?;26.1;10.5;25.8;0.854
953.0;1055.0;770.0;?;?;-200.0;-200.0;964.0;1513.0;24.8;?;?;0.8393
988.0;?;758.0;-200.0;-200.0;-200.0;-200.0;953.0;?;22.2;9.3;27.0;0.7805
944.0;1087.0;886.0;-200.0;-200.0;-200.0;?;1075.0;1558.0;20.5;?;27.3;0.7308
