NMHC(GT);CO(GT);NO2(GT);NOx(GT);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);PT08.S3(NOx)
101.0;1.3;83.0;72.0;46.3;?;17.4;?;1055.0;899.0;1504.0;?;880.0
?;?;74.0;?;44.7;4.4;18.1;0.9186;953.0;735.0;1396.0;?;999.0
51.0;0.6;64.0;41.0;50.1;2.8;?;0.9331;?;639.0;1359.0;803.0;1139.0
47.0;0.6;-200.0;-200.0;56.9;2.7;14.2;0.9141;895.0;632.0;1347.0;?;1167.0
?;-200.0;40.0;24.0;56.2;2.2;14.7;0.9341;859.0;602.0;1321.0;?;1209.0
?;0.5;39.0;29.0;52.8;?;16.3;0.9722;856.0;619.0;1345.0;?;1191.0
95.0;1.1;69.0;76.0;60.7;7.5;13.9;0.9597;1030.0;?;?;996.0;892.0
?;?;104.0;321.0;58.3;30.4;15.0;0.9876;1689.0;?;2396.0;1736.0;529.0
588.0;4.2;100.0;274.0;?;22.0;16.1;0.996;1486.0;1351.0;2112.0;?;571.0
?;4.6;146.0;322.0;46.4;24.7;19.3;1.0248;1592.0;1423.0;?;2108.0;577.0
372.0;3.4;155.0;255.0;33.8;18.4;24.2;1.0097;1469.0;?;1903.0;1807.0;?
386.0;2.8;?;196.0;28.7;?;26.7;0.9895;?;1205.0;1850.0;1566.0;?
333.0;2.5;121.0;136.0;28.2;14.2;27.4;1.0098;1285.0;1123.0;?;?;755.0
?;2.4;108.0;119.0;26.9;15.7;28.1;1.0094;?;1170.0;?;1219.0;748.0
511.0;3.2;?;169.0;26.5;?;?;0.9693;1416.0;?;1969.0;1330.0;684.0
559.0;3.5;145.0;197.0;?;20.8;28.4;0.8935;1387.0;1318.0;1890.0;?;?
375.0;2.9;121.0;?;26.0;16.2;28.4;?;1329.0;1185.0;?;1111.0;768.0
?;3.6;145.0;178.0;30.0;19.8;27.3;1.0752;1496.0;?;1878.0;?;680.0
?;4.8;?;223.0;?;28.9;?;1.1199;1676.0;1525.0;2226.0;1653.0;?
816.0;5.4;155.0;?;42.2;?;23.1;1.1746;?;1510.0;2252.0;?;562.0
804.0;5.3;162.0;265.0;43.6;24.9;21.8;?;1642.0;1426.0;2117.0;1720.0;597.0
332.0;2.7;129.0;151.0;46.8;13.1;19.8;1.0702;1267.0;?;1740.0;1339.0;?
?;1.4;96.0;79.0;49.8;8.6;19.6;1.1221;1146.0;923.0;?;1166.0;845.0
143.0;1.6;?;87.0;?;9.5;?;1.142;1216.0;960.0;1662.0;1256.0;788.0
117.0;1.5;?;?;55.6;7.8;17.4;1.0963;1128.0;891.0;1574.0;?;838.0
84.0;1.0;?;51.0;59.5;?;16.8;1.1269;?;772.0;?;968.0;?
60.0;0.6;54.0;?;60.1;2.8;15.9;1.0806;?;639.0;1409.0;814.0;?
76.0;0.4;?;-200.0;61.2;?;15.6;1.0784;898.0;608.0;1386.0;?;?
40.0;?;44.0;?;63.4;2.5;14.6;1.0446;889.0;?;?;758.0;?
64.0;0.8;57.0;76.0;?;4.4;?;1.0203;959.0;734.0;1470.0;861.0;1038.0
148.0;1.5;?;?;66.5;9.4;12.9;0.9846;?;956.0;1620.0;1047.0;827.0
635.0;?;95.0;293.0;?;?;?;1.0237;1674.0;1547.0;2405.0;1665.0;539.0
1129.0;?;125.0;?;56.5;36.2;16.1;1.0274;1771.0;1690.0;?;?;461.0
475.0;3.5;135.0;250.0;47.8;18.0;18.6;1.0143;1408.0;1241.0;1886.0;1711.0;648.0
220.0;?;118.0;145.0;30.2;10.9;23.8;0.8771;1156.0;1009.0;1583.0;1204.0;875.0
105.0;1.5;91.0;110.0;25.0;?;25.4;0.7966;?;?;?;871.0;971.0
190.0;2.0;89.0;104.0;25.5;?;25.6;0.8234;1167.0;1128.0;1716.0;?;829.0
?;3.8;129.0;?;?;22.3;24.9;0.9325;1398.0;1360.0;2037.0;1439.0;?
346.0;3.4;122.0;201.0;37.9;?;?;1.016;1458.0;1321.0;2023.0;1516.0;654.0
565.0;4.4;138.0;266.0;44.0;23.1;21.7;1.1242;?;1379.0;2151.0;1693.0;614.0
483.0;3.9;136.0;246.0;44.4;21.2;21.4;1.1176;1495.0;1331.0;2069.0;?;615.0
651.0;4.9;?;247.0;45.3;24.8;20.8;1.1016;1560.0;1424.0;?;1688.0;?
657.0;?;145.0;271.0;48.6;28.6;20.2;1.1354;?;1519.0;?;1820.0;553.0
830.0;6.5;146.0;332.0;50.8;?;20.2;?;1761.0;1610.0;2488.0;2006.0;502.0
435.0;4.3;?;245.0;57.6;19.2;18.6;1.2233;1524.0;1275.0;?;1740.0;608.0
209.0;2.9;112.0;?;58.8;16.3;18.2;1.2173;1398.0;1189.0;1931.0;1577.0;646.0
?;?;102.0;156.0;61.0;13.7;17.8;1.2352;?;1106.0;1856.0;1443.0;?
174.0;2.8;97.0;172.0;70.7;13.6;17.0;1.3554;1433.0;1104.0;?;1411.0;?
170.0;2.3;85.0;137.0;?;?;?;1.4051;1297.0;1019.0;1823.0;1217.0;733.0
116.0;1.7;76.0;91.0;78.6;7.6;15.7;1.3943;1179.0;884.0;1696.0;1086.0;830.0
91.0;1.2;?;?;78.4;?;?;1.3917;1097.0;809.0;1628.0;1050.0;?
71.0;1.0;-200.0;-200.0;77.4;?;15.7;?;?;761.0;1598.0;965.0;963.0
59.0;?;?;46.0;78.5;4.0;15.4;1.3635;1017.0;?;1554.0;906.0;1009.0
48.0;0.8;66.0;68.0;?;?;15.7;1.3194;1005.0;?;1563.0;?;1005.0
?;?;90.0;162.0;73.1;9.3;15.9;1.3136;1206.0;?;1771.0;?;?
345.0;3.0;111.0;213.0;68.2;18.3;16.6;?;1458.0;1249.0;?;1380.0;662.0
?;?;103.0;161.0;57.6;19.9;18.7;?;1405.0;1295.0;?;1378.0;?
?;3.3;117.0;209.0;65.0;?;17.6;1.2945;?;1199.0;1970.0;1365.0;685.0
212.0;?;116.0;191.0;73.2;12.6;16.3;?;1315.0;1072.0;?;1273.0;736.0
166.0;2.6;?;?;78.5;12.9;?;1.4209;1332.0;1082.0;1889.0;1242.0;?
214.0;3.2;?;212.0;72.4;14.9;17.3;1.4125;1362.0;1145.0;1973.0;1294.0;?
377.0;3.4;115.0;202.0;60.9;17.4;19.4;1.3545;1399.0;?;2061.0;1413.0;643.0
?;2.6;94.0;153.0;50.9;15.4;21.4;1.2823;?;1160.0;?;1224.0;695.0
?;3.4;121.0;185.0;45.8;16.7;22.7;1.2465;1399.0;1201.0;?;?;699.0
365.0;4.0;114.0;210.0;60.8;18.0;20.9;1.4852;1524.0;1239.0;2139.0;1404.0;644.0
454.0;4.5;110.0;215.0;54.3;19.2;21.0;1.3353;1487.0;1274.0;2133.0;1471.0;641.0
460.0;?;?;215.0;54.4;21.0;?;1.3194;1480.0;1324.0;2162.0;1623.0;622.0
?;5.7;135.0;281.0;58.6;26.9;19.8;1.3392;?;?;2356.0;1786.0;?
501.0;4.4;133.0;254.0;61.1;19.5;19.1;1.3345;?;?;2100.0;1569.0;625.0
234.0;3.1;110.0;189.0;?;15.1;18.2;1.3529;1363.0;1152.0;1951.0;1495.0;?
?;3.0;102.0;174.0;66.1;?;18.1;1.3579;1371.0;1136.0;1927.0;1471.0;689.0
?;3.1;108.0;167.0;66.9;?;17.7;?;1406.0;1107.0;1872.0;1384.0;?
?;3.5;110.0;185.0;66.8;15.2;17.8;1.346;1425.0;1155.0;1936.0;1789.0;709.0
-200.0;2.4;84.0;129.0;68.3;9.3;17.3;1.3346;1179.0;951.0;1724.0;?;826.0
-200.0;?;?;?;70.2;6.5;16.5;?;1047.0;833.0;?;?;939.0
-200.0;1.3;?;-200.0;73.1;6.3;15.7;1.2902;1009.0;?;1629.0;938.0;950.0
?;-200.0;?;?;?;3.5;16.2;1.2756;882.0;685.0;1492.0;?;1134.0
?;0.6;32.0;24.0;?;2.6;?;1.2619;858.0;624.0;1434.0;543.0;1205.0
-200.0;0.7;?;30.0;66.9;3.1;16.7;1.2631;875.0;659.0;1452.0;561.0;1180.0
-200.0;1.2;67.0;75.0;?;6.5;?;1.2688;1012.0;833.0;?;?;916.0
-200.0;?;73.0;79.0;?;6.5;?;?;?;836.0;?;901.0;926.0
-200.0;1.8;86.0;?;54.6;8.8;19.4;1.2184;?;932.0;1693.0;1048.0;854.0
-200.0;2.1;89.0;?;46.1;8.8;21.6;1.1725;?;?;1652.0;971.0;886.0
?;1.9;86.0;105.0;36.7;9.2;?;1.1202;?;946.0;1657.0;915.0;?
-200.0;?;86.0;101.0;31.9;9.2;26.0;1.0566;1110.0;948.0;1632.0;891.0;901.0
?;1.3;66.0;65.0;31.5;6.1;25.6;1.0184;962.0;816.0;1489.0;?;1044.0
-200.0;1.3;68.0;59.0;34.8;6.5;24.8;1.0716;963.0;835.0;?;556.0;?
-200.0;?;82.0;80.0;30.3;9.2;26.1;1.0101;1050.0;948.0;1584.0;652.0;?
-200.0;?;91.0;98.0;33.5;8.3;25.5;1.0767;1053.0;911.0;1603.0;683.0;?
?;1.8;95.0;89.0;?;8.3;23.7;1.0746;?;?;1598.0;624.0;948.0
-200.0;2.4;104.0;114.0;38.9;11.0;?;1.0324;?;1013.0;1676.0;733.0;?
-200.0;4.0;131.0;195.0;42.8;14.7;?;1.0298;1330.0;1140.0;?;1062.0;759.0
-200.0;2.8;112.0;156.0;?;10.8;19.0;1.1222;1171.0;1006.0;1674.0;988.0;835.0
-200.0;2.0;100.0;109.0;55.5;9.4;17.8;1.1174;1085.0;954.0;1656.0;871.0;866.0
-200.0;3.6;115.0;184.0;57.6;?;17.4;1.1342;1358.0;1144.0;1851.0;1243.0;727.0
-200.0;3.7;129.0;190.0;58.5;13.3;17.6;1.1645;1385.0;1094.0;1769.0;1175.0;765.0
-200.0;2.3;99.0;105.0;59.3;8.4;17.2;1.1551;1167.0;914.0;1599.0;1126.0;876.0
-200.0;?;74.0;76.0;60.4;7.9;17.1;1.1633;1072.0;894.0;1646.0;1118.0;893.0
-200.0;0.9;55.0;38.0;62.2;5.5;?;?;?;?;1536.0;864.0;?
-200.0;1.6;-200.0;-200.0;?;6.6;14.8;1.1352;1000.0;?;1580.0;942.0;?
-200.0;-200.0;35.0;26.0;65.8;3.3;14.8;1.1028;854.0;670.0;?;684.0;1141.0
?;0.6;?;33.0;65.2;2.6;14.7;1.0811;815.0;628.0;1426.0;689.0;1212.0
-200.0;0.7;45.0;57.0;70.2;3.6;?;1.0554;866.0;689.0;1456.0;767.0;1138.0
-200.0;0.8;?;48.0;66.2;4.8;14.3;?;911.0;751.0;1518.0;?;1036.0
?;?;68.0;?;?;5.9;16.0;1.1083;988.0;?;1568.0;?;?
-200.0;1.4;77.0;94.0;56.4;6.9;?;1.1342;?;851.0;?;908.0;?
?;1.6;79.0;89.0;44.7;8.5;21.3;1.1157;1085.0;918.0;1639.0;?;890.0
-200.0;?;72.0;78.0;36.4;?;?;1.0431;?;816.0;1531.0;689.0;1015.0
-200.0;1.3;68.0;72.0;?;?;24.3;1.0149;1004.0;821.0;1510.0;629.0;1031.0
-200.0;1.1;64.0;64.0;32.7;4.8;24.4;?;948.0;754.0;1436.0;?;1086.0
-200.0;1.2;73.0;70.0;31.7;?;?;0.9647;1026.0;847.0;1519.0;617.0;1010.0
-200.0;1.5;84.0;92.0;34.3;7.0;23.9;?;1047.0;859.0;1538.0;677.0;948.0
-200.0;1.1;?;69.0;28.1;5.5;25.9;0.9258;1018.0;790.0;1443.0;580.0;1047.0
-200.0;1.9;106.0;?;32.3;?;24.5;0.9815;?;?;1637.0;861.0;884.0
?;?;114.0;144.0;39.3;11.9;22.6;1.06;?;?;1721.0;1080.0;809.0
-200.0;3.3;123.0;209.0;47.5;13.8;21.2;1.1828;1394.0;1111.0;1853.0;1288.0;?
-200.0;?;108.0;170.0;54.9;10.7;19.9;1.2632;1292.0;?;1753.0;?;789.0
-200.0;2.2;100.0;152.0;52.1;9.7;19.4;1.1642;1212.0;966.0;?;1043.0;840.0
-200.0;2.3;118.0;171.0;42.6;10.2;19.4;0.9485;1137.0;985.0;1607.0;1045.0;858.0
-200.0;?;?;153.0;44.1;8.3;19.1;0.966;1080.0;910.0;?;929.0;923.0
-200.0;1.6;94.0;97.0;?;7.1;18.0;1.0086;1031.0;861.0;1534.0;825.0;903.0
-200.0;0.8;?;37.0;54.6;3.0;17.6;1.0918;917.0;654.0;1414.0;545.0;1169.0
-200.0;?;?;26.0;62.1;?;16.4;1.1493;?;598.0;1397.0;?;1228.0
-200.0;0.4;-200.0;-200.0;?;1.7;15.6;1.1484;872.0;564.0;?;494.0;1284.0
-200.0;-200.0;33.0;25.0;61.4;1.5;16.0;1.1043;876.0;547.0;1351.0;505.0;?
-200.0;0.7;57.0;61.0;64.3;?;15.8;1.1416;964.0;697.0;1516.0;717.0;?
-200.0;?;?;152.0;65.8;8.2;16.0;1.1844;1147.0;906.0;1687.0;?;?
-200.0;?;?;283.0;62.5;21.1;16.8;1.1869;1493.0;1328.0;?;?;577.0
-200.0;4.7;109.0;320.0;66.1;?;16.9;1.2613;1597.0;1466.0;?;?;518.0
?;3.4;109.0;318.0;68.9;17.4;17.4;1.3557;?;1222.0;2054.0;1529.0;597.0
?;2.5;111.0;?;45.0;12.9;21.4;1.1291;1222.0;1080.0;?;1366.0;742.0
-200.0;?;102.0;135.0;?;10.9;23.9;0.9002;1060.0;?;1623.0;1074.0;858.0
?;1.9;96.0;?;25.2;11.0;26.8;?;1048.0;1013.0;1584.0;940.0;886.0
-200.0;1.7;90.0;102.0;23.6;10.8;28.4;0.8983;1051.0;1008.0;1561.0;?;911.0
-200.0;1.4;69.0;74.0;?;10.0;30.3;0.8539;998.0;977.0;1496.0;695.0;947.0
-200.0;1.5;74.0;81.0;19.7;11.2;30.9;0.8649;1058.0;1023.0;1580.0;795.0;896.0
?;2.4;102.0;129.0;20.5;16.8;30.2;0.8672;1203.0;1204.0;1744.0;1079.0;790.0
-200.0;3.9;128.0;190.0;34.6;23.6;26.4;1.1724;?;?;?;1473.0;630.0
-200.0;?;130.0;192.0;39.4;23.3;24.9;1.2268;1467.0;1385.0;2084.0;1493.0;?
?;3.7;120.0;163.0;43.7;19.4;23.5;1.2484;?;1279.0;2009.0;?;660.0
-200.0;3.2;113.0;149.0;63.1;13.1;?;1.4028;1324.0;1086.0;1903.0;1189.0;692.0
-200.0;2.0;100.0;?;64.6;9.8;18.7;1.3836;1214.0;970.0;1771.0;?;?
-200.0;1.1;?;61.0;?;5.3;?;?;1016.0;780.0;1566.0;806.0;967.0
-200.0;?;83.0;84.0;62.5;6.7;18.9;1.3521;1135.0;842.0;1653.0;973.0;?
?;1.3;81.0;?;?;5.5;18.4;1.3802;1065.0;789.0;1620.0;929.0;?
?;1.0;69.0;58.0;79.2;?;16.4;1.4681;999.0;692.0;1588.0;778.0;1038.0
-200.0;?;?;32.0;80.0;2.2;16.1;1.4562;911.0;599.0;1517.0;?;1189.0
-200.0;0.4;-200.0;-200.0;81.0;1.5;15.6;1.4302;873.0;545.0;1471.0;497.0;1308.0
-200.0;?;?;21.0;81.0;1.5;?;1.4216;?;?;1465.0;458.0;1335.0
?;0.6;47.0;49.0;80.5;2.9;15.7;1.4236;967.0;646.0;1552.0;579.0;1117.0
?;1.9;88.0;180.0;80.8;9.9;16.0;1.4602;1280.0;976.0;1912.0;1003.0;780.0
-200.0;4.5;109.0;302.0;78.0;23.0;16.6;1.4572;?;1379.0;?;1393.0;552.0
-200.0;4.3;113.0;258.0;79.2;22.3;16.1;?;1505.0;1358.0;?;?;556.0
-200.0;3.2;104.0;192.0;70.8;?;17.7;1.4171;1309.0;1186.0;1973.0;1308.0;649.0
?;1.3;65.0;84.0;54.8;7.9;20.3;1.2867;1035.0;895.0;1657.0;863.0;898.0
-200.0;2.2;87.0;128.0;49.3;12.4;21.2;?;?;1062.0;1825.0;1004.0;?
-200.0;2.6;99.0;?;47.9;13.6;21.5;1.2178;?;1104.0;1860.0;1023.0;725.0
-200.0;2.3;100.0;132.0;47.7;12.3;21.4;1.2047;1131.0;1059.0;1784.0;978.0;772.0
?;2.4;?;136.0;?;12.1;20.4;?;1142.0;1053.0;1814.0;979.0;753.0
-200.0;2.6;97.0;140.0;57.1;12.9;19.9;1.3158;1197.0;1082.0;1851.0;971.0;753.0
-200.0;1.2;?;55.0;55.2;6.3;19.9;1.2701;?;828.0;1565.0;617.0;971.0
-200.0;1.6;59.0;67.0;?;?;19.5;?;?;1001.0;?;717.0;836.0
-200.0;3.9;109.0;191.0;62.8;?;18.3;1.3127;1377.0;1313.0;2120.0;1220.0;?
-200.0;4.7;?;?;68.3;22.1;17.2;1.3289;1405.0;?;2185.0;1296.0;?
-200.0;5.4;132.0;264.0;75.2;20.8;?;?;1484.0;1319.0;2166.0;1413.0;591.0
-200.0;?;?;196.0;70.8;11.8;16.6;?;1187.0;1042.0;1840.0;?;766.0
-200.0;0.9;53.0;?;56.0;4.3;18.5;1.181;?;729.0;1475.0;586.0;1096.0
-200.0;?;61.0;58.0;59.5;5.0;17.3;1.1667;?;765.0;1543.0;575.0;?
-200.0;0.7;41.0;33.0;52.3;?;18.6;1.1121;830.0;608.0;1370.0;441.0;1282.0
-200.0;0.5;?;14.0;49.8;?;19.0;1.0831;?;534.0;?;358.0;?
-200.0;0.5;28.0;18.0;?;?;15.7;1.14;820.0;541.0;1360.0;377.0;1450.0
-200.0;0.5;-200.0;-200.0;66.9;?;15.5;1.1691;842.0;565.0;?;?;?
?;-200.0;41.0;28.0;74.1;2.1;14.7;1.2302;867.0;?;1439.0;468.0;1267.0
-200.0;0.8;?;56.0;77.1;3.5;14.6;1.2727;?;682.0;1526.0;580.0;1109.0
-200.0;1.3;81.0;108.0;78.3;6.9;14.5;1.2851;1060.0;851.0;1673.0;805.0;912.0
-200.0;3.5;107.0;251.0;76.8;19.1;15.1;1.3061;1440.0;1271.0;2163.0;1273.0;?
-200.0;-200.0;-200.0;-200.0;70.8;22.0;16.4;1.3088;?;1350.0;2264.0;1452.0;571.0
-200.0;3.9;124.0;255.0;?;18.9;16.4;1.3379;1384.0;1265.0;2143.0;?;620.0
-200.0;2.9;?;?;?;13.0;16.3;1.2657;?;?;1876.0;?;737.0
-200.0;2.6;120.0;190.0;62.9;13.0;17.2;1.2228;1143.0;1083.0;1887.0;1083.0;735.0
-200.0;3.0;113.0;182.0;61.1;14.5;?;1.206;1167.0;?;1920.0;1083.0;709.0
?;3.7;114.0;202.0;66.8;19.7;?;1.2691;1303.0;1288.0;?;?;618.0
-200.0;3.9;120.0;224.0;?;19.4;17.3;1.226;1264.0;1279.0;?;1223.0;631.0
-200.0;3.5;125.0;221.0;60.8;16.4;17.5;1.2029;1242.0;1193.0;1945.0;1175.0;684.0
-200.0;2.4;88.0;126.0;?;11.2;17.5;1.1725;1070.0;1022.0;?;933.0;824.0
-200.0;1.6;72.0;79.0;?;10.0;17.7;1.1392;981.0;978.0;?;?;?
-200.0;?;?;137.0;?;14.6;17.1;?;1198.0;1136.0;1870.0;1291.0;717.0
-200.0;1.6;67.0;68.0;63.9;8.5;?;1.2667;1000.0;918.0;1661.0;802.0;881.0
-200.0;2.1;79.0;96.0;70.7;9.2;15.9;1.2672;1110.0;949.0;1733.0;842.0;850.0
-200.0;1.8;89.0;111.0;75.1;6.9;?;1.2799;1023.0;?;1637.0;744.0;918.0
-200.0;1.1;67.0;56.0;72.5;3.7;13.9;?;861.0;695.0;1438.0;?;?
?;?;83.0;81.0;79.8;4.9;12.0;1.1175;969.0;760.0;1518.0;560.0;?
-200.0;1.4;76.0;79.0;75.8;4.6;12.5;?;898.0;741.0;?;589.0;1085.0
-200.0;0.9;58.0;?;75.0;?;12.0;1.0499;835.0;674.0;1416.0;?;1201.0
-200.0;0.5;?;19.0;72.2;?;?;1.0503;766.0;523.0;1310.0;387.0;?
-200.0;0.4;-200.0;-200.0;71.6;1.0;12.7;1.0486;743.0;502.0;?;355.0;1635.0
-200.0;-200.0;22.0;15.0;67.1;?;13.1;1.0079;758.0;?;1294.0;351.0;1625.0
?;0.6;50.0;?;?;2.3;13.2;0.9774;804.0;604.0;1357.0;?;1366.0
-200.0;1.3;?;128.0;65.6;6.1;13.1;0.9815;948.0;817.0;1546.0;695.0;?
-200.0;2.9;101.0;193.0;58.5;16.8;14.7;0.9688;1204.0;?;1984.0;1139.0;?
?;3.6;?;?;53.1;?;?;0.9529;1231.0;1304.0;2029.0;1315.0;?
?;3.4;130.0;220.0;?;16.4;17.9;0.9388;1176.0;1191.0;?;1217.0;705.0
-200.0;2.5;114.0;?;37.7;12.5;20.2;?;1043.0;1066.0;1692.0;1014.0;789.0
?;2.1;?;135.0;42.8;9.8;?;?;?;970.0;?;884.0;869.0
-200.0;?;?;57.0;?;5.2;13.0;0.9586;?;?;?;524.0;1035.0
?;1.8;75.0;?;54.5;8.9;15.1;?;?;937.0;?;644.0;874.0
?;3.0;121.0;219.0;65.5;?;13.6;?;1182.0;1119.0;1831.0;1032.0;733.0
-200.0;3.1;128.0;?;78.3;12.7;?;1.1154;1191.0;1074.0;1816.0;?;741.0
-200.0;3.6;139.0;?;?;14.6;12.7;?;1272.0;?;1869.0;?;730.0
-200.0;3.3;?;?;?;12.4;14.4;1.049;1138.0;?;1728.0;?;?
-200.0;1.8;?;92.0;?;?;15.6;1.0266;?;954.0;1626.0;834.0;892.0
-200.0;2.1;97.0;107.0;61.4;11.0;15.0;1.0385;1075.0;1015.0;?;949.0;824.0
-200.0;2.2;98.0;122.0;?;8.9;13.7;1.0254;1034.0;935.0;1605.0;?;?
?;?;93.0;100.0;?;6.6;12.3;0.944;934.0;841.0;1497.0;?;?
-200.0;0.9;65.0;?;58.8;3.9;15.4;1.0215;883.0;705.0;1422.0;655.0;1133.0
-200.0;?;81.0;93.0;64.9;7.3;14.1;?;1021.0;871.0;1586.0;805.0;938.0
?;2.3;102.0;145.0;64.7;8.2;?;1.0168;?;?;1579.0;?;879.0
-200.0;2.0;91.0;106.0;67.8;7.5;13.5;?;?;878.0;1568.0;969.0;896.0
?;0.9;?;46.0;69.4;3.3;13.7;1.0794;855.0;669.0;1427.0;671.0;1160.0
-200.0;0.6;-200.0;-200.0;?;2.4;13.9;1.0712;?;616.0;1384.0;575.0;1227.0
-200.0;-200.0;41.0;32.0;67.8;2.2;14.0;1.0787;831.0;602.0;?;?;1269.0
-200.0;0.7;48.0;51.0;61.1;2.8;14.6;1.0075;817.0;639.0;1364.0;?;?
-200.0;1.5;72.0;89.0;60.5;7.5;14.3;0.9847;972.0;?;1590.0;689.0;964.0
-200.0;3.7;106.0;214.0;56.9;19.8;14.9;0.9582;1200.0;1290.0;2014.0;?;?
-200.0;4.2;107.0;196.0;?;?;16.4;0.9286;1234.0;1355.0;2095.0;1266.0;?
-200.0;?;?;224.0;50.9;15.0;16.0;0.9211;?;1148.0;1824.0;1130.0;741.0
-200.0;2.4;114.0;174.0;?;9.3;18.6;0.9091;976.0;952.0;1582.0;834.0;878.0
-200.0;1.3;101.0;90.0;33.7;6.3;19.7;0.7646;844.0;?;1405.0;536.0;1027.0
-200.0;1.5;95.0;89.0;27.7;8.2;21.2;0.6864;851.0;906.0;1418.0;?;?
?;2.2;?;?;28.5;10.9;?;0.6445;926.0;1010.0;1526.0;720.0;904.0
?;?;?;114.0;29.7;9.3;?;0.678;?;950.0;1460.0;655.0;940.0
?;?;?;107.0;35.6;8.4;19.2;0.7856;921.0;?;1481.0;614.0;937.0
-200.0;2.3;116.0;140.0;60.5;9.4;14.2;0.9765;1052.0;956.0;1600.0;725.0;869.0
-200.0;3.6;124.0;187.0;69.1;17.9;12.9;1.0249;1247.0;1238.0;?;1036.0;691.0
-200.0;4.3;?;222.0;70.4;17.4;12.7;1.0294;?;1222.0;1911.0;1127.0;684.0
-200.0;2.2;96.0;117.0;62.7;10.5;13.9;0.9905;1016.0;995.0;1642.0;854.0;857.0
?;1.5;85.0;?;?;7.5;13.9;0.9948;984.0;879.0;1527.0;?;?
?;2.0;?;130.0;65.2;8.0;13.4;0.9996;?;898.0;1595.0;891.0;922.0
?;2.0;97.0;133.0;64.6;7.7;13.4;0.9864;1027.0;?;?;?;927.0
-200.0;2.1;101.0;144.0;?;7.3;13.3;?;?;?;1531.0;851.0;954.0
-200.0;1.5;85.0;99.0;61.8;6.4;13.3;?;984.0;829.0;?;787.0;1003.0
?;2.2;80.0;?;59.7;5.6;?;0.9271;969.0;791.0;?;711.0;1084.0
-200.0;0.5;33.0;27.0;53.3;1.5;14.6;?;758.0;546.0;?;396.0;?
-200.0;?;-200.0;-200.0;?;?;14.3;0.8412;767.0;547.0;?;375.0;1482.0
-200.0;-200.0;-200.0;-200.0;67.5;1.2;10.9;0.8785;772.0;518.0;?;343.0;1544.0
-200.0;?;-200.0;-200.0;?;1.6;?;?;831.0;557.0;1257.0;?;1480.0
?;-200.0;-200.0;-200.0;?;?;8.7;0.919;?;628.0;1329.0;518.0;1243.0
-200.0;-200.0;-200.0;-200.0;75.6;5.9;10.3;0.9458;?;808.0;?;685.0;1028.0
-200.0;?;-200.0;-200.0;75.0;?;11.0;0.9821;1093.0;918.0;1589.0;939.0;857.0
?;-200.0;-200.0;-200.0;66.1;?;13.6;1.0236;1079.0;885.0;?;974.0;?
-200.0;-200.0;-200.0;-200.0;63.1;6.9;14.7;?;1084.0;?;1575.0;959.0;?
-200.0;-200.0;-200.0;-200.0;?;10.1;13.8;1.1361;?;?;1739.0;1067.0;?
-200.0;-200.0;?;?;76.8;?;?;?;1213.0;1018.0;1778.0;1061.0;?
-200.0;?;?;-200.0;60.0;9.2;16.2;1.0937;?;949.0;?;1008.0;827.0
-200.0;-200.0;-200.0;-200.0;55.3;4.3;16.3;1.0146;?;726.0;1432.0;637.0;?
-200.0;-200.0;-200.0;-200.0;40.4;6.5;20.0;0.9354;964.0;833.0;1489.0;?;1003.0
-200.0;-200.0;-200.0;-200.0;?;5.4;19.8;0.8099;903.0;?;1375.0;?;?
-200.0;-200.0;-200.0;-200.0;33.6;7.1;?;0.767;?;863.0;1408.0;539.0;992.0
-200.0;-200.0;-200.0;?;38.5;9.5;17.8;0.7763;?;961.0;1502.0;649.0;?
-200.0;-200.0;-200.0;-200.0;?;17.0;?;?;1175.0;1209.0;1829.0;1071.0;720.0
-200.0;-200.0;-200.0;-200.0;51.8;15.4;?;0.8816;1215.0;?;1802.0;1237.0;714.0
-200.0;-200.0;-200.0;-200.0;56.2;9.9;14.1;0.9028;1072.0;976.0;1603.0;1018.0;835.0
?;-200.0;-200.0;-200.0;58.3;9.3;13.8;0.9147;1070.0;952.0;1573.0;966.0;858.0
-200.0;-200.0;-200.0;-200.0;59.7;6.9;13.7;0.9285;1021.0;?;1457.0;901.0;979.0
-200.0;-200.0;-200.0;-200.0;60.3;?;13.7;0.9405;1063.0;859.0;1519.0;949.0;952.0
-200.0;-200.0;-200.0;-200.0;64.9;9.0;12.7;0.9506;1068.0;938.0;1575.0;1057.0;862.0
?;-200.0;-200.0;?;?;8.3;12.6;0.9529;?;913.0;1601.0;989.0;879.0
-200.0;-200.0;?;-200.0;68.6;8.7;12.1;0.964;1034.0;?;?;1005.0;848.0
?;-200.0;-200.0;-200.0;68.0;8.4;12.3;0.9722;?;914.0;?;1003.0;856.0
-200.0;-200.0;?;-200.0;71.1;8.1;11.9;0.9899;1036.0;902.0;1558.0;?;825.0
-200.0;-200.0;-200.0;-200.0;73.8;5.2;11.3;0.9848;924.0;774.0;?;909.0;987.0
-200.0;-200.0;-200.0;-200.0;62.6;4.5;13.1;0.9419;922.0;737.0;1414.0;882.0;1050.0
?;-200.0;-200.0;?;46.8;?;16.8;0.8881;?;?;1303.0;568.0;1266.0
